date,AAPL,BAC,CVX,DIA,JPM,KO,MSFT,PEP,QQQ,SPY,XLE,XLF,XLI,XLK,XLP,XOM
2020-12-07,120.46471405029297,25.914566040039062,73.38442993164062,275.692138671875,107.04401397705078,45.589847564697266,205.61973571777344,125.81426239013672,298.0080871582031,344.0881042480469,32.69029235839844,26.347976684570312,82.1841049194336,121.46167755126953,59.05498123168945,33.427982330322266
2020-12-08,121.0780029296875,25.772031784057617,74.01510620117188,276.6993713378906,107.1494140625,45.75330352783203,207.2701416015625,125.94408416748047,299.01678466796875,345.094970703125,33.176361083984375,26.33882713317871,82.58213806152344,121.85565948486328,59.37931442260742,34.5231819152832
2020-12-09,118.54702758789062,25.656221389770508,73.12570190429688,275.49066162109375,106.31504821777344,45.88235855102539,203.23049926757812,126.09124755859375,292.2467041015625,341.9998474121094,33.250511169433594,26.274736404418945,82.76727294921875,119.52059173583984,59.142635345458984,34.980873107910156
2020-12-10,119.96826171875,25.93238067626953,75.47859191894531,275.1794128417969,105.62998962402344,45.64146041870117,202.00228881835938,125.20846557617188,293.4202880859375,341.8880310058594,34.27207565307617,26.320512771606445,81.9804458618164,119.69356536865234,58.879669189453125,35.969818115234375
2020-12-11,119.1603012084961,25.451326370239258,74.7508773803711,275.5364074707031,105.00641632080078,45.899566650390625,204.63145446777344,125.46809387207031,292.77044677734375,341.4872131347656,33.87663269042969,26.05501937866211,82.1748275756836,119.4437255859375,59.01115798950195,35.798179626464844
2020-12-14,118.54702758789062,25.13953399658203,72.317138671875,273.86090087890625,103.8998031616211,45.83073806762695,205.5334014892578,124.8276596069336,294.89459228515625,339.95819091796875,32.69029235839844,25.75290298461914,81.11027526855469,119.87614440917969,58.78323745727539,34.50684356689453
2020-12-15,124.4850845336914,25.51368522644043,72.26055145263672,277.0838928222656,105.67390441894531,46.32113265991211,205.46627807617188,125.29500579833984,298.0468444824219,344.55426025390625,33.3328857421875,26.192340850830078,82.23963928222656,121.87487030029297,58.923500061035156,35.17702865600586
2020-12-16,124.41694641113281,25.584951400756836,71.71072387695312,276.6535949707031,105.98130798339844,45.65006637573242,210.4078826904297,125.39883422851562,299.6860046386719,345.094970703125,33.168121337890625,26.238113403320312,81.73051452636719,122.70128631591797,59.03744888305664,35.71644973754883
2020-12-17,125.28329467773438,25.68294906616211,71.48433685302734,277.8804931640625,105.10302734375,45.83073806762695,210.5421905517578,126.10856628417969,301.6452331542969,347.02471923828125,33.0115852355957,26.311357498168945,82.23037719726562,123.67182159423828,59.41437530517578,35.536643981933594
2020-12-18,123.29747009277344,25.5404109954834,70.49788665771484,276.9612121582031,104.5848388671875,46.23509979248047,209.74578857421875,127.1644287109375,300.73345947265625,345.63909912109375,32.459617614746094,26.08247947692871,82.23963928222656,123.23939514160156,59.54587173461914,34.92366027832031
2020-12-21,124.82579040527344,26.49361228942871,69.60846710205078,277.18145751953125,108.51072692871094,45.434974670410156,213.58395385742188,125.8402328491211,300.1708984375,344.4033203125,31.833465576171875,26.434078216552734,81.74327087402344,123.3626937866211,58.90414810180664,34.286155700683594
2020-12-22,128.37887573242188,26.021461486816406,68.20967864990234,275.2823486328125,106.85956573486328,45.3919563293457,214.8793487548828,124.6458740234375,300.9870300292969,343.8228454589844,31.29914665222168,26.17636489868164,81.36213684082031,124.43182373046875,58.48870086669922,33.705867767333984
2020-12-23,127.48331451416016,26.769773483276367,69.2850570678711,276.3924560546875,109.84569549560547,45.66727066040039,212.07748413085938,124.98340606689453,299.4713439941406,344.13177490234375,31.992088317871094,26.60895538330078,81.78974914550781,123.48792266845703,58.683162689208984,34.1390380859375
2020-12-24,128.4665069580078,26.689594268798828,68.99398040771484,277.07135009765625,109.36265563964844,45.976993560791016,213.7374725341797,125.54596710205078,300.7928161621094,345.4705810546875,31.82511329650879,26.645769119262695,81.79904174804688,124.30659484863281,58.974849700927734,34.00010299682617
2020-12-28,133.06118774414062,26.84103775024414,68.64630889892578,278.8878173828125,110.08283233642578,46.5964469909668,215.8580780029297,127.14716339111328,303.824462890625,348.4384765625,31.624746322631836,26.77463150024414,81.90129089355469,125.71281433105469,59.443328857421875,34.114532470703125
2020-12-29,131.2895050048828,26.734140396118164,68.41181182861328,278.3923034667969,109.79301452636719,46.57063674926758,215.08084106445312,127.58849334716797,304.0964050292969,347.773681640625,31.41602325439453,26.68259048461914,81.40864562988281,125.11565399169922,59.26655578613281,33.73038864135742
2020-12-30,130.17005920410156,26.707414627075195,68.99398040771484,279.0070495605469,110.10040283203125,46.837337493896484,212.71075439453125,127.49331665039062,304.1062316894531,348.26995849609375,31.908605575561523,26.802242279052734,81.9291763305664,125.0482406616211,59.20466232299805,34.00010299682617
2020-12-31,129.16737365722656,27.00139045715332,68.2824478149414,280.5298767089844,111.60225677490234,47.18149185180664,213.4208221435547,128.3501434326172,304.8543395996094,350.0394592285156,31.64144515991211,27.13358497619629,82.31027221679688,125.23124694824219,59.62010192871094,33.68952560424805
2021-01-04,125.9744873046875,26.751955032348633,68.49268341064453,277.3465270996094,110.54833221435547,45.3919563293457,208.88221740722656,124.8622817993164,300.5498352050781,345.2739562988281,31.69153594970703,26.765424728393555,80.32109069824219,123.18932342529297,58.974849700927734,33.918373107910156
2021-01-05,127.53199768066406,26.956850051879883,70.34427642822266,278.7409362792969,111.14984893798828,44.892948150634766,209.08370971679688,125.23441314697266,303.0276794433594,347.6520080566406,33.110801696777344,26.885072708129883,81.1111831665039,123.98873901367188,58.974849700927734,35.55299758911133
